Model,ticker,evtdate,cret,car,bhar,nrets_est
Market Model,CHTR,2020-10-30,0.0276817213,0.0198017814,0.0187450441,100
Market Model,CHTR,2013-01-31,-0.042453988,-0.046099688,-0.046182897,100
Market Model,CHTR,2019-01-31,0.1765822348,0.1390723504,0.1430910106,100
Market Model,CHTR,2020-01-31,0.084178995,0.080775225,0.0826140228,100
Market Model,CHTR,2014-07-31,-0.06047143,-0.047273841,-0.046516054,100
Market Model,CHTR,2018-07-31,0.0528834399,0.0594253296,0.059735265,100
Market Model,CHTR,2020-07-31,0.0411002436,0.0266589315,0.0268630698,100
Market Model,CHTR,2013-10-31,0.0061211105,0.006480873,0.0059037634,100
Market Model,CHTR,2014-10-31,0.0519159456,0.02484985,0.0254189668,100
Market Model,GM,2019-08-01,-0.01607717,0.0131534276,0.0129436596,100
Market Model,GM,2012-02-01,0.0033016921,-0.006493385,-0.006601869,100
Market Model,GM,2012-03-01,0.0118592196,0.0244263107,0.0243612701,100
Market Model,GM,2013-03-01,-0.011313869,-0.02800096,-0.028061005,100
Market Model,GM,2012-05-01,-0.025499363,-0.021479687,-0.021580932,100
Market Model,GM,2011-11-01,-0.122873346,-0.082411292,-0.079378648,100
Market Model,GM,2013-10-01,-0.011822931,-0.020444865,-0.020356621,100
Market Model,GM,2013-04-02,-0.000718907,0.0114950428,0.0115412046,100
Market Model,GM,2015-04-02,-0.0224,-0.028370896,-0.028335328,100
Market Model,GM,2012-08-02,0.0167427702,0.0039747033,0.0033354553,100
Market Model,GM,2017-12-04,-0.0067301,-0.002642124,-0.00268249,100
Market Model,GM,2013-07-02,0.0249174422,0.0152929355,0.0153735807,100
Market Model,GM,2013-05-02,0.0408560311,0.0246711835,0.024485335,100
Market Model,GM,2013-08-05,-0.013984097,-0.005890202,-0.006113384,100
Market Model,GM,2012-12-03,-0.026063626,-0.017655457,-0.017468693,100
Market Model,GM,2013-12-03,-0.000516396,0.011293191,0.0107850701,100
Market Model,GM,2016-02-03,-0.04882099,-0.038630585,-0.037704785,100
Market Model,GM,2013-01-03,0.0357266736,-0.004291614,-0.004173792,100
Market Model,GM,2012-05-03,-0.040755041,0.0008368541,0.0008003516,100
Market Model,GM,2011-10-03,0.0317919075,0.0686528929,0.0656170791,100
Market Model,GM,2011-08-04,-0.027356747,0.0245768556,0.0238558055,100
Market Model,GM,2014-12-04,0.0201443175,0.0166564459,0.0163480225,100
Market Model,GM,2015-02-04,0.0948353972,0.0718502027,0.0742238949,100
